45,201,186
38,196,179
39,192,177
39,194,178
43,217,199
39,196,182
34,169,155
35,165,149
34,172,150
33,154,139
32,160,142
33,159,139
38,180,161
30,151,135



153,255,255
168,255,255
152,255,255
179,255,255
161,255,255
166,255,255
154,255,255
160,255.255
145,255,255

142,65,80
141,66.76
145,61,71
141,58,64
133,61,70
130,57,61

171,80,77
180,82,86
182,83,87
187,91,94
184,91,90
186,96,99
142,60,65
168,73,73
165,68,66
185,85,87
187,84,87
177,74,72
189,92,104
150,84,83
142,74,72
110,56,54
99,50,53
135,72,73
185,87,88
180,73,70
174,72,70
184,85,89













































